epoc (ms),timestamp (+0100),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1.52517E+12,2018-05-01T10.42.41.440,8.563,1.373,0.042,0.11
1.52517E+12,2018-05-01T10.42.41.521,8.644,1.113,0.728,0.107
1.52517E+12,2018-05-01T10.42.41.601,8.724,0.964,0.341,0.292
1.52517E+12,2018-05-01T10.42.41.682,8.805,0.714,-0.024,0.169
1.52517E+12,2018-05-01T10.42.41.762,8.885,0.712,-0.044,0.232
1.52517E+12,2018-05-01T10.42.41.843,8.966,0.859,0.049,0.316
1.52517E+12,2018-05-01T10.42.41.924,9.047,0.926,-0.069,0.318
1.52517E+12,2018-05-01T10.42.42.006,9.129,1.652,0.425,0.273
1.52517E+12,2018-05-01T10.42.42.086,9.209,0.848,0.608,0.156
1.52517E+12,2018-05-01T10.42.42.167,9.29,1.046,0.148,-0.133
1.52517E+12,2018-05-01T10.42.42.247,9.37,0.845,0.028,0.088
1.52517E+12,2018-05-01T10.42.42.328,9.451,0.77,0.172,0.062
1.52517E+12,2018-05-01T10.42.42.408,9.531,1.032,-0.21,0.099
1.52517E+12,2018-05-01T10.42.42.489,9.612,0.972,-0.219,0.122
1.52517E+12,2018-05-01T10.42.42.571,9.694,1.147,-0.099,0.138
1.52517E+12,2018-05-01T10.42.42.652,9.775,1.384,0.243,0.172
1.52517E+12,2018-05-01T10.42.42.732,9.855,1.051,0.747,0.299
1.52517E+12,2018-05-01T10.42.42.813,9.936,0.913,-0.015,0.229
1.52517E+12,2018-05-01T10.42.42.893,10.016,0.734,-0.061,0.226
1.52517E+12,2018-05-01T10.42.42.974,10.097,0.858,0.087,0.365
1.52517E+12,2018-05-01T10.42.43.056,10.179,0.899,-0.117,0.364
1.52517E+12,2018-05-01T10.42.43.136,10.259,0.953,-0.135,0.38
1.52517E+12,2018-05-01T10.42.43.217,10.34,1.521,0.607,0.072
1.52517E+12,2018-05-01T10.42.43.298,10.421,0.719,0.389,0.123
1.52517E+12,2018-05-01T10.42.43.378,10.501,0.956,0.322,-0.117
1.52517E+12,2018-05-01T10.42.43.459,10.582,0.781,0.732,0.054
1.52517E+12,2018-05-01T10.42.43.539,10.662,1.031,0.132,-0.049
1.52517E+12,2018-05-01T10.42.43.621,10.744,1.039,-0.172,0.094
1.52517E+12,2018-05-01T10.42.43.702,10.825,0.959,0.013,0.155
1.52517E+12,2018-05-01T10.42.43.782,10.905,1.079,0.05,0.093
1.52517E+12,2018-05-01T10.42.43.863,10.986,1.069,0.118,0.067
1.52517E+12,2018-05-01T10.42.43.944,11.067,1.119,0.271,-0.042
1.52517E+12,2018-05-01T10.42.44.024,11.147,0.878,0.465,0.29
1.52517E+12,2018-05-01T10.42.44.105,11.228,1.187,0.124,0.181
1.52517E+12,2018-05-01T10.42.44.187,11.31,0.828,0.091,0.149
1.52517E+12,2018-05-01T10.42.44.267,11.39,0.663,0.122,0.243
1.52517E+12,2018-05-01T10.42.44.348,11.471,0.929,-0.019,0.21
1.52517E+12,2018-05-01T10.42.44.428,11.551,1.069,0.164,0.354
1.52517E+12,2018-05-01T10.42.44.509,11.632,1.41,0.306,0.148
1.52517E+12,2018-05-01T10.42.44.590,11.713,0.923,0.315,0.053
1.52517E+12,2018-05-01T10.42.44.670,11.793,0.996,0.036,-0.124
1.52517E+12,2018-05-01T10.42.44.752,11.875,0.714,0.311,0.109
1.52517E+12,2018-05-01T10.42.44.833,11.956,0.909,0.151,0.079
1.52517E+12,2018-05-01T10.42.44.913,12.036,1.045,-0.109,0.053
1.52517E+12,2018-05-01T10.42.44.994,12.117,1.014,0.033,-0.061
1.52517E+12,2018-05-01T10.42.45.074,12.197,1.227,-0.13,0.007
1.52517E+12,2018-05-01T10.42.45.155,12.278,1.409,0.171,-0.154
1.52517E+12,2018-05-01T10.42.45.237,12.36,0.808,0.917,0.173
1.52517E+12,2018-05-01T10.42.45.318,12.441,1.052,0.09,0.118
1.52517E+12,2018-05-01T10.42.45.398,12.521,0.819,-0.021,0.124
1.52517E+12,2018-05-01T10.42.45.479,12.602,0.727,0.105,0.175
1.52517E+12,2018-05-01T10.42.45.559,12.682,0.859,-0.011,0.207
1.52517E+12,2018-05-01T10.42.45.640,12.763,0.949,0.125,0.253
1.52517E+12,2018-05-01T10.42.45.720,12.843,1.336,0.177,0.418
1.52517E+12,2018-05-01T10.42.45.802,12.925,1.342,0.309,-0.044
1.52517E+12,2018-05-01T10.42.45.883,13.006,0.728,0.201,-0.006
1.52517E+12,2018-05-01T10.42.45.964,13.087,0.969,0.144,-0.037
1.52517E+12,2018-05-01T10.42.46.044,13.167,0.771,0.306,0.052
1.52517E+12,2018-05-01T10.42.46.125,13.248,0.958,0.09,0.074
1.52517E+12,2018-05-01T10.42.46.205,13.328,0.991,-0.112,0.053
1.52517E+12,2018-05-01T10.42.46.287,13.41,1.114,-0.134,0.044
1.52517E+12,2018-05-01T10.42.46.368,13.491,1.432,-0.135,0.013
1.52517E+12,2018-05-01T10.42.46.448,13.571,1.055,0.726,0.021
1.52517E+12,2018-05-01T10.42.46.529,13.652,0.894,0.25,0.283
1.52517E+12,2018-05-01T10.42.46.610,13.733,0.946,-0.084,0.09
1.52517E+12,2018-05-01T10.42.46.690,13.813,0.704,0.107,0.206
1.52517E+12,2018-05-01T10.42.46.771,13.894,0.782,0.136,0.272
1.52517E+12,2018-05-01T10.42.46.853,13.976,1.006,-0.037,0.219
1.52517E+12,2018-05-01T10.42.46.933,14.056,1.394,-0.043,0.41
1.52517E+12,2018-05-01T10.42.47.014,14.137,1.248,0.259,-0.07
1.52517E+12,2018-05-01T10.42.47.094,14.217,0.823,0.201,-0.125
1.52517E+12,2018-05-01T10.42.47.175,14.298,0.908,0.27,-0.045
1.52517E+12,2018-05-01T10.42.47.256,14.379,0.751,0.302,0.065
1.52517E+12,2018-05-01T10.42.47.336,14.459,0.939,-0.095,0.017
